x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,027000	0,002092	0,004756	0,439526	0,016428	
-0,026962	0,001804	0,004632	0,389124	0,017355	
-0,026925	0,001533	0,004509	0,339882	0,024828	
-0,026887	0,001282	0,004384	0,292317	0,020072	
-0,026850	0,001053	0,004260	0,246926	0,025569	
-0,026812	0,000845	0,004135	0,204185	0,021246	
-0,026775	0,000660	0,004010	0,164540	0,024581	
-0,026737	0,000499	0,003885	0,128408	0,024581	
-0,026700	0,000362	0,003760	0,096166	0,031529	
-0,026662	0,000248	0,003636	0,068153	0,027051	
-0,026625	0,000157	0,003512	0,044661	0,036964	
-0,026587	0,000088	0,003388	0,025936	0,034648	
-0,026550	0,000040	0,003264	0,012175	0,036315	
-0,026512	0,000011	0,003142	0,003522	0,028750	
-0,026475	0,000000	0,003020	0,000067	0,035729	
-0,026437	0,000005	0,002899	0,001847	0,035111	
-0,026400	0,000025	0,002779	0,008842	0,041009	
-0,026362	0,000056	0,002660	0,020981	0,041380	
-0,026325	0,000097	0,002542	0,038135	0,048359	
-0,026287	0,000146	0,002426	0,060125	0,045085	
-0,026249	0,000201	0,002311	0,086722	0,045610	
-0,026212	0,000259	0,002198	0,117645	0,038384	
-0,026174	0,000318	0,002086	0,152573	0,047741	
-0,026137	0,000378	0,001976	0,191138	0,042152	
-0,026099	0,000435	0,001868	0,232938	0,039650	
-0,026062	0,000489	0,001762	0,277535	0,033135	
-0,026024	0,000538	0,001658	0,324461	0,036377	
-0,025987	0,000581	0,001557	0,373225	0,031961	
-0,025949	0,000617	0,001457	0,423318	0,038909	
-0,025912	0,000646	0,001361	0,474213	0,037520	
-0,025874	0,000666	0,001266	0,525379	0,040639	
-0,025837	0,000677	0,001175	0,576279	0,031498	
-0,025799	0,000680	0,001086	0,626380	0,034555	
-0,025762	0,000675	0,001000	0,675159	0,026001	
-0,025724	0,000662	0,000916	0,722103	0,026187	
-0,025687	0,000642	0,000836	0,766722	0,018683	
-0,025649	0,000614	0,000759	0,808549	0,021740	
-0,025612	0,000581	0,000685	0,847144	0,014359	
-0,025574	0,000543	0,000615	0,882104	0,017787	
-0,025536	0,000500	0,000548	0,913063	0,017694	
-0,025499	0,000455	0,000484	0,939697	0,022944	
-0,025461	0,000408	0,000424	0,961726	0,013032	
-0,025424	0,000360	0,000368	0,978921	0,014576	
-0,025386	0,000313	0,000315	0,991100	0,010592	
-0,025349	0,000266	0,000266	0,998136	0,015286	
-0,025311	0,000221	0,000221	0,999956	0,010314	
-0,025274	0,000180	0,000180	0,996541	0,015996	
-0,025236	0,000142	0,000143	0,987925	0,006948	
-0,025199	0,000108	0,000111	0,974200	0,012476	
-0,025161	0,000078	0,000082	0,955509	0,006886	
-0,025124	0,000053	0,000057	0,932047	0,009666	
-0,025086	0,000034	0,000037	0,904061	0,007905	
-0,025049	0,000018	0,000021	0,871843	0,016336	
-0,025011	0,000008	0,000010	0,835731	0,008276	
-0,024974	0,000002	0,000003	0,796103	0,010839	
-0,024936	0,000000	0,000000	0,753374	0,009789	
-0,024899	0,000001	0,000002	0,707992	0,013865	
-0,024861	0,000006	0,000008	0,660431	0,011024	
-0,024823	0,000012	0,000020	0,611189	0,017602	
-0,024786	0,000020	0,000035	0,560784	0,011086	
-0,024748	0,000028	0,000056	0,509741	0,016675	
-0,024711	0,000037	0,000081	0,458597	0,010129	
-0,024673	0,000045	0,000110	0,407886	0,013896	
-0,024636	0,000052	0,000145	0,358139	0,009943	
-0,024598	0,000057	0,000184	0,309879	0,016459	
-0,024561	0,000060	0,000228	0,263610	0,007936	
-0,024523	0,000061	0,000277	0,219816	0,011024	
-0,024486	0,000059	0,000330	0,178957	0,008770	
-0,024448	0,000055	0,000389	0,141460	0,018034	
-0,024411	0,000049	0,000452	0,107719	0,009480	
-0,024373	0,000041	0,000520	0,078086	0,009727	
-0,024336	0,000031	0,000592	0,052873	0,008152	
-0,024298	0,000022	0,000669	0,032342	0,013093	
-0,024261	0,000013	0,000751	0,016710	0,008801	
-0,024223	0,000005	0,000838	0,006139	0,014946	
-0,024186	0,000001	0,000929	0,000742	0,007226	
-0,024148	0,000001	0,001025	0,000574	0,008369	
-0,024110	0,000006	0,001126	0,005637	0,006238	
-0,024073	0,000020	0,001231	0,015878	0,012012	
-0,024035	0,000042	0,001341	0,031190	0,006948	
-0,023998	0,000075	0,001455	0,051412	0,010932	
-0,023960	0,000120	0,001574	0,076334	0,006176	
-0,023923	0,000179	0,001697	0,105693	0,012445	
-0,023885	0,000254	0,001824	0,139183	0,010252	
-0,023848	0,000345	0,001956	0,176452	0,017417	
-0,023810	0,000454	0,002091	0,217110	0,011735	
-0,023773	0,000582	0,002231	0,260732	0,014421	
-0,023735	0,000729	0,002375	0,306860	0,010407	
-0,023698	0,000896	0,002523	0,355012	0,018868	
-0,023660	0,001083	0,002675	0,404682	0,008060	
-0,023623	0,001290	0,002831	0,455351	0,007566	
-0,023585	0,001516	0,002991	0,506488	0,007257	
-0,023548	0,001760	0,003154	0,557558	0,017818	
-0,023510	0,002020	0,003321	0,608024	0,013556	
-0,023473	0,002296	0,003491	0,657360	0,019331	
-0,023435	0,002585	0,003664	0,705047	0,010777	
-0,023397	0,002885	0,003841	0,750586	0,012599	
-0,023360	0,003193	0,004021	0,793501	0,008894	
-0,023322	0,003506	0,004204	0,833341	0,015502	
-0,023285	0,003821	0,004391	0,869690	0,007967	
-0,023247	0,004134	0,004580	0,902166	0,010623	
-0,023210	0,004442	0,004771	0,930430	0,009233	
-0,023172	0,004741	0,004965	0,954185	0,017015	
-0,023135	0,005027	0,005162	0,973182	0,009851	
-0,023097	0,005296	0,005361	0,987222	0,013217	
-0,023060	0,005545	0,005563	0,996158	0,007133	
-0,023022	0,005769	0,005766	0,999897	0,010993	
-0,022985	0,005966	0,005972	0,998399	0,011426	
-0,022947	0,006131	0,006179	0,991680	0,018158	
-0,022910	0,006263	0,006388	0,979811	0,008399	
-0,022872	0,006358	0,006598	0,962915	0,010808	
-0,022835	0,006414	0,006810	0,941169	0,006639	
-0,022797	0,006429	0,007024	0,914802	0,011024	
-0,022760	0,006403	0,007238	0,884089	0,006269	
-0,022722	0,006335	0,007453	0,849352	0,005991	
-0,022685	0,006224	0,007670	0,810956	0,007164	
-0,022647	0,006071	0,007887	0,769302	0,014946	
-0,022609	0,005878	0,008104	0,724826	0,007782	
-0,022572	0,005646	0,008322	0,677996	0,010530	
-0,022534	0,005378	0,008540	0,629300	0,007535	
-0,022497	0,005076	0,008758	0,579250	0,015070	
-0,022459	0,004746	0,008976	0,528369	0,009449	
-0,022422	0,004390	0,009194	0,477191	0,010129	
-0,022384	0,004014	0,009411	0,426252	0,008214	
-0,022347	0,003623	0,009628	0,376086	0,013711	
-0,022309	0,003223	0,009845	0,327218	0,006732	
-0,022272	0,002820	0,010060	0,280160	0,012877	
-0,022234	0,002420	0,010274	0,235405	0,007998	
-0,022197	0,002030	0,010487	0,193422	0,013001	
-0,022159	0,001656	0,010699	0,154652	0,006578	
-0,022122	0,001304	0,010909	0,119499	0,012507	
-0,022084	0,000983	0,011118	0,088334	0,010098	
-0,022047	0,000697	0,011325	0,061481	0,017139	
-0,022009	0,000453	0,011530	0,039223	0,010715	
-0,021972	0,000256	0,011732	0,021792	0,020752	
-0,021934	0,000112	0,011933	0,009372	0,013680	
-0,021896	0,000025	0,012130	0,002092	0,021153	
-0,021859	0,000000	0,012326	0,000030	0,017540	
-0,021821	0,000040	0,012518	0,003205	0,021524	
-0,021784	0,000147	0,012708	0,011586	0,021585	
-0,021746	0,000324	0,012894	0,025085	0,032146	
-0,021709	0,000570	0,013078	0,043560	0,026681	
-0,021671	0,000886	0,013258	0,066817	0,028225	
-0,021634	0,001272	0,013434	0,094613	0,022141	
-0,021596	0,001725	0,013607	0,126657	0,030108	
-0,021559	0,002242	0,013776	0,162613	0,034740	
-0,021521	0,002819	0,013941	0,202104	0,042584	
-0,021484	0,003453	0,014102	0,244717	0,036161	
-0,021446	0,004138	0,014259	0,290005	0,037551	
-0,021409	0,004867	0,014411	0,337493	0,040484	
-0,021371	0,005633	0,014559	0,386684	0,051076	
-0,021334	0,006430	0,014702	0,437063	0,050397	
-0,021296	0,007248	0,014841	0,488101	0,054874	
-0,021259	0,008080	0,014974	0,539265	0,050953	
-0,021221	0,008917	0,015103	0,590017	0,055739	
-0,021183	0,009749	0,015226	0,639826	0,050551	
-0,021146	0,010567	0,015345	0,688170	0,056635	
-0,021108	0,011362	0,015458	0,734543	0,054936	
-0,021071	0,012125	0,015565	0,778458	0,056171	
-0,021033	0,012847	0,015668	0,819456	0,048668	
-0,020996	0,013520	0,015764	0,857106	0,056295	
-0,020958	0,014136	0,015855	0,891015	0,048606	
-0,020921	0,014687	0,015940	0,920826	0,054813	
-0,020883	0,015167	0,016019	0,946228	0,054072	
-0,020846	0,015570	0,016092	0,966954	0,054257	
-0,020808	0,015891	0,016159	0,982787	0,046475	
-0,020771	0,016125	0,016219	0,993561	0,046876	
-0,020733	0,016271	0,016274	0,999163	0,038168	
-0,020696	0,016325	0,016322	0,999535	0,044684	
-0,020658	0,016288	0,016364	0,994671	0,040886	
-0,020621	0,016158	0,016400	0,984625	0,042491	
-0,020583	0,015938	0,016429	0,969500	0,033691	
-0,020546	0,015630	0,016452	0,949455	0,034092	
-0,020508	0,015238	0,016468	0,924700	0,028564	
-0,020470	0,014765	0,016477	0,895494	0,033289	
-0,020433	0,014217	0,016480	0,862145	0,023840	
-0,020395	0,013602	0,016477	0,825000	0,023037	
-0,020358	0,012925	0,016466	0,784449	0,017818	
-0,020320	0,012195	0,016449	0,740917	0,021524	
-0,020283	0,011421	0,016426	0,694861	0,013773	
-0,020245	0,010611	0,016395	0,646762	0,017787	
-0,020208	0,009774	0,016358	0,597126	0,013927	
-0,020170	0,008921	0,016314	0,546471	0,014761	
-0,020133	0,008061	0,016264	0,495330	0,012043	
-0,020095	0,007204	0,016207	0,444238	0,019115	
-0,020058	0,006360	0,016143	0,393729	0,011673	
-0,020020	0,005538	0,016073	0,344335	0,016614	
-0,019983	0,004747	0,015996	0,296572	0,009882	
-0,019945	0,003996	0,015913	0,250941	0,015409	
-0,019908	0,003292	0,015823	0,207920	0,010005	
-0,019870	0,002643	0,015727	0,167960	0,013680	
-0,019833	0,002056	0,015624	0,131479	0,008029	
-0,019795	0,001535	0,015515	0,098861	0,010499	
-0,019757	0,001086	0,015400	0,070447	0,011024	
-0,019720	0,000711	0,015278	0,046535	0,017139	
-0,019682	0,000415	0,015151	0,027375	0,012321	
-0,019645	0,000198	0,015017	0,013169	0,017664	
-0,019607	0,000061	0,014877	0,004065	0,012290	
-0,019570	0,000002	0,014732	0,000159	0,017324	
-0,019532	0,000022	0,014581	0,001491	0,016274	
-0,019495	0,000116	0,014424	0,008048	0,019547	
-0,019457	0,000282	0,014262	0,019761	0,017169	
-0,019420	0,000515	0,014094	0,036507	0,024519	
-0,019382	0,000809	0,013921	0,058111	0,018343	
-0,019345	0,001160	0,013743	0,084347	0,022234	
-0,019307	0,001560	0,013560	0,114939	0,022759	
-0,019270	0,002001	0,013371	0,149567	0,031405	
-0,019232	0,002477	0,013178	0,187868	0,027669	
-0,019195	0,002980	0,012981	0,229441	0,029089	
-0,019157	0,003502	0,012779	0,273850	0,025847	
-0,019120	0,004034	0,012573	0,320629	0,028688	
-0,019082	0,004568	0,012362	0,369288	0,028935	
-0,019044	0,005097	0,012148	0,419318	0,038199	
-0,019007	0,005613	0,011930	0,470193	0,036995	
-0,018969	0,006108	0,011708	0,521381	0,040978	
-0,018932	0,006576	0,011482	0,572345	0,031807	
-0,018894	0,007010	0,011254	0,622551	0,039218	
-0,018857	0,007406	0,011022	0,671472	0,038878	
-0,018819	0,007757	0,010787	0,718597	0,042244	
-0,018782	0,008059	0,010550	0,763431	0,034463	
-0,018744	0,008310	0,010310	0,805503	0,044437	
-0,018707	0,008507	0,010068	0,844374	0,044221	
-0,018669	0,008647	0,009824	0,879635	0,045857	
-0,018632	0,008730	0,009578	0,910917	0,036501	
-0,018594	0,008756	0,009330	0,937893	0,036871	
-0,018557	0,008726	0,009081	0,960278	0,032424	
-0,018519	0,008641	0,008831	0,977840	0,037520	
-0,018482	0,008502	0,008579	0,990392	0,031035	
-0,018444	0,008314	0,008327	0,997805	0,034648	
-0,018407	0,008080	0,008074	1,000000	0,031529	
-0,018369	0,007803	0,007821	0,996954	0,032980	
-0,018331	0,007487	0,007568	0,988699	0,023500	
-0,018294	0,007139	0,007315	0,975322	0,027576	
-0,018256	0,006763	0,007063	0,956962	0,025569	
-0,018219	0,006364	0,006811	0,933812	0,032857	
-0,018181	0,005948	0,006560	0,906116	0,023840	
-0,018144	0,005519	0,006310	0,874162	0,023932	
-0,018106	0,005084	0,006061	0,838286	0,018621	
-0,018069	0,004648	0,005814	0,798864	0,028472	
-0,018031	0,004214	0,005569	0,756310	0,019362	
-0,017994	0,003789	0,005326	0,711069	0,018466	
-0,017956	0,003377	0,005085	0,663615	0,016552	
-0,017919	0,002980	0,004847	0,614446	0,018034	
-0,017881	0,002603	0,004612	0,564078	0,011024	
-0,017844	0,002248	0,004379	0,513037	0,016397	
-0,017806	0,001918	0,004151	0,461861	0,013186	
-0,017769	0,001615	0,003925	0,411083	0,018219	
-0,017731	0,001339	0,003704	0,361238	0,010499	
-0,017694	0,001091	0,003486	0,312848	0,014020	
-0,017656	0,000873	0,003273	0,266419	0,008430	
-0,017618	0,000682	0,003065	0,222439	0,015965	
-0,017581	0,000519	0,002861	0,181369	0,009727	
-0,017543	0,000383	0,002663	0,143639	0,015471	
-0,017506	0,000271	0,002469	0,109644	0,013464	
-0,017468	0,000182	0,002282	0,079742	0,024087	
-0,017431	0,000114	0,002100	0,054245	0,012414	
-0,017393	0,000064	0,001924	0,033421	0,011395	
-0,017356	0,000031	0,001754	0,017488	0,008585	
-0,017318	0,000011	0,001591	0,006614	0,013711	
-0,017281	0,000001	0,001434	0,000912	0,010407	
-0,017243	0,000001	0,001285	0,000442	0,012537	
-0,017206	0,000006	0,001142	0,005209	0,007350	
-0,017168	0,000015	0,001007	0,015163	0,015317	
-0,017131	0,000027	0,000880	0,030200	0,011364	
-0,017093	0,000038	0,000760	0,050162	0,016150	
-0,017056	0,000049	0,000648	0,074840	0,012321	
-0,017018	0,000057	0,000545	0,103976	0,016089	
-0,016981	0,000062	0,000450	0,137263	0,014699	
-0,016943	0,000063	0,000363	0,174353	0,022388	
-0,016905	0,000061	0,000285	0,214857	0,014792	
-0,016868	0,000056	0,000217	0,258351	0,019702	
-0,016830	0,000048	0,000157	0,304378	0,019794	
-0,016793	0,000038	0,000107	0,352457	0,024303	
-0,016755	0,000027	0,000066	0,402082	0,018528	
-0,016718	0,000016	0,000035	0,452734	0,024365	
-0,016680	0,000007	0,000013	0,503882	0,028626	
-0,016643	0,000001	0,000002	0,554989	0,036223	
-0,016605	0,000000	0,000001	0,605520	0,032146	
-0,016568	0,000006	0,000010	0,654945	0,038539	
-0,016530	0,000020	0,000029	0,702745	0,034092	
-0,016493	0,000044	0,000059	0,748421	0,044375	
-0,016455	0,000079	0,000099	0,791492	0,039867	
